"","Acrobeles_emmatus_MB04","Acrobeles_emmatus_MB05","Acrobeles_emmatus_MB06","Acrobeles_emmatus_MB07","Acrobeles_emmatus_MB20","Acrobeles_emmatus_MB36","Acrobeles_mariannae_MB02","Acrobeles_mariannae_MB11","Acrobeles_mariannae_MB12","Acrobeles_mariannae_MB19","Acrobeles_mariannae_MB35","Acrobeles_mariannae_MB37","Acrobeles_sp._MB22","Acrobeles_sp_MB10","Acrobeles_sp_MB33","Acrobeloides_sp_MB26","Acrobeloides_sp_MB39","Acrobeloides_sp_MB40","Cervidellus_sp_MB03","Cervidellus_sp_MB24","Mesorhabditis_sp_MB16","Mesorhabditis_sp_MB17","Mesorhabditis_sp_MB18","Mesorhabditis_sp_MB27","Mesorhabditis_sp_MB28","PC_sample_A_PC1","PC_sample_E_PC4","PC_sample_F_PC5","PC_sample_G_PC3","PC_sample_M_PC2","Stegelleta_sp_MB01","Stegelleta_sp_MB14","Stegelleta_sp_MB15","Stegelleta_sp_MB31","Stegelleta_sp_MB32","Stegelleta_sp_MB38","Stegelletina_sp_MB09","Stegelletina_sp_MB13","Stegelletina_sp_MB21","Stegelletina_sp_MB29","Stegelletina_sp_MB30","Stegelletina_sp_MB34","total","superkingdom","kingdom","phylum","class","order","family","genus","tax"
"Terrimonas soli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,231,"Bacteria","Pseudomonadati","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Terrimonas","Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas soli"
"Terrimonas suqianensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,195,"Bacteria","Pseudomonadati","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Terrimonas","Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas suqianensis"
"Terrimonas terrae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,178,"Bacteria","Pseudomonadati","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Terrimonas","Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas terrae"
"Chryseosolibacter histidini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,443,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Chryseotaleaceae","Chryseosolibacter","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Chryseotaleaceae;Chryseosolibacter;Chryseosolibacter histidini"
"Chryseosolibacter indicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3817,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Chryseotaleaceae","Chryseosolibacter","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Chryseotaleaceae;Chryseosolibacter;Chryseosolibacter indicus"
"Dawidia cretensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,236,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Chryseotaleaceae","Dawidia","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Chryseotaleaceae;Dawidia;Dawidia cretensis"
"Chthoniobacter flavus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,251,"Bacteria","Pseudomonadati","Verrucomicrobiota","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Bacteria;Pseudomonadati;Verrucomicrobiota;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;Chthoniobacter flavus"
"Acidovorax defluvii",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,218,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax defluvii"
"Acidovorax temperans",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax temperans"
"Caenimonas koreensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas;Caenimonas koreensis"
"Comamonas aquatica",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas aquatica"
"Comamonas sediminis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,321,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas sediminis"
"Comamonas terrigena",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas terrigena"
"Curvibacter fontanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;Curvibacter fontanus"
"Delftia lacustris",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;Delftia lacustris"
"Delftia tsuruhatensis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;Delftia tsuruhatensis"
"Diaphorobacter nitroreducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;Diaphorobacter nitroreducens"
"Hydrogenophaga palleronii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;Hydrogenophaga palleronii"
"Macromonas bipunctata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Macromonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Macromonas;Macromonas bipunctata"
"Polaromonas ginsengisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;Polaromonas ginsengisoli"
"Pseudorhodoferax soli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pseudorhodoferax","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pseudorhodoferax;Pseudorhodoferax soli"
"Ramlibacter agri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,443,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter agri"
"Ramlibacter algicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter algicola"
"Ramlibacter alkalitolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,246,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter alkalitolerans"
"Ramlibacter ginsenosidimutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,362,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter ginsenosidimutans"
"Ramlibacter henchirensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter henchirensis"
"Ramlibacter monticola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,327,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter monticola"
"Ramlibacter pinisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter pinisoli"
"Ramlibacter solisilvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter solisilvae"
"Ramlibacter tataouinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter tataouinensis"
"Variovorax boronicumulans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Variovorax boronicumulans"
"Variovorax paradoxus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,95,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Variovorax paradoxus"
"Variovorax ureilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Variovorax ureilyticus"
"Conexibacter woesei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Bacteria","Bacillati","Actinomycetota","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter","Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter woesei"
"Aquicella siphonis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,251,"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Coxiellaceae;Aquicella;Aquicella siphonis"
"Fluviicola chungangensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2676,"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Fluviicola chungangensis"
"Fluviicola hefeinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1669,"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Fluviicola hefeinensis"
"Fluviicola kyonggii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Fluviicola kyonggii"
"Fluviicola taffensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77,"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Fluviicola taffensis"
"Cryptosporangium eucalypti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Cryptosporangiales","Cryptosporangiaceae","Cryptosporangium","Bacteria;Bacillati;Actinomycetota;Actinomycetes;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium eucalypti"
"Cryptosporangium minutisporangium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Cryptosporangiales","Cryptosporangiaceae","Cryptosporangium","Bacteria;Bacillati;Actinomycetota;Actinomycetes;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium minutisporangium"
"Litoribacter populi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Cyclobacteriaceae","Litoribacter","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Litoribacter;Litoribacter populi"
"Rhodocytophaga rosea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2146,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Rhodocytophaga;Rhodocytophaga rosea"
"Spirosoma oryzae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8112,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma;Spirosoma oryzae"
"Sporocytophaga myxococcoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Cytophagaceae","Sporocytophaga","Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga;Sporocytophaga myxococcoides"
"Deinococcus antarcticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"Bacteria","Thermotogati","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Bacteria;Thermotogati;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus antarcticus"
"Deinococcus budaensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,"Bacteria","Thermotogati","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Bacteria;Thermotogati;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus budaensis"
"Deinococcus wulumuqiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,"Bacteria","Thermotogati","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Bacteria;Thermotogati;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus wulumuqiensis"
"Deinococcus xinjiangensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,"Bacteria","Thermotogati","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Bacteria;Thermotogati;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus xinjiangensis"
"Devosia albogilva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia albogilva"
"Devosia aurantiaca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia aurantiaca"
"Devosia confluentis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,364,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia confluentis"
"Devosia enhydra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,218,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia enhydra"
"Devosia geojensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia geojensis"
"Devosia ginsengisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia ginsengisoli"
"Devosia honganensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia honganensis"
"Devosia humi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia humi"
"Devosia insulae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,520,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia insulae"
