size.class,nematode1,nematode2,p_value,signif
5,PC,A. mariannae,0.067252215,
5,Stegelleta,A. mariannae,1,
5,Stegelletina,A. mariannae,1,
5,A. mariannae,Acrobeles sp.,NA,
5,Acrobeles sp.,Acrobeles sp.,NA,
5,Acrobeloides,Acrobeles sp.,0.660581786,
5,Cervidellus,Acrobeles sp.,NA,
5,Mesorhabditis,Acrobeles sp.,0.719799136,
5,PC,Acrobeles sp.,0.344062673,
5,Stegelleta,Acrobeles sp.,0.605550783,
5,Stegelletina,Acrobeles sp.,0.660581786,
5,A. mariannae,Acrobeloides,NA,
5,Acrobeles sp.,Acrobeloides,NA,
5,Acrobeloides,Acrobeloides,NA,
5,Cervidellus,Acrobeloides,0.660581786,
5,Mesorhabditis,Acrobeloides,1,
5,PC,Acrobeloides,0.208333333,
5,Stegelleta,Acrobeloides,1,
5,Stegelletina,Acrobeloides,0.989982728,
5,A. mariannae,Cervidellus,NA,
5,Acrobeles sp.,Cervidellus,NA,
5,Acrobeloides,Cervidellus,NA,
5,Cervidellus,Cervidellus,NA,
5,Mesorhabditis,Cervidellus,0.719799136,
5,PC,Cervidellus,0.344062673,
5,Stegelleta,Cervidellus,0.605550783,
5,Stegelletina,Cervidellus,0.660581786,
5,A. mariannae,Mesorhabditis,NA,
5,Acrobeles sp.,Mesorhabditis,NA,
5,Acrobeloides,Mesorhabditis,NA,
5,Cervidellus,Mesorhabditis,NA,
5,Mesorhabditis,Mesorhabditis,NA,
5,PC,Mesorhabditis,0.136157233,
5,Stegelleta,Mesorhabditis,1,
5,Stegelletina,Mesorhabditis,0.984461564,
5,A. mariannae,PC,NA,
5,Acrobeles sp.,PC,NA,
5,Acrobeloides,PC,NA,
5,Cervidellus,PC,NA,
5,Mesorhabditis,PC,NA,
5,PC,PC,NA,
5,Stegelleta,PC,0.067252215,
5,Stegelletina,PC,0.067252215,
5,A. mariannae,Stegelleta,NA,
5,Acrobeles sp.,Stegelleta,NA,
5,Acrobeloides,Stegelleta,NA,
5,Cervidellus,Stegelleta,NA,
5,Mesorhabditis,Stegelleta,NA,
5,PC,Stegelleta,NA,
5,Stegelleta,Stegelleta,NA,
5,Stegelletina,Stegelleta,0.875742722,
6,A. mariannae,A. emmatus,0.660356125,
6,Acrobeles sp.,A. emmatus,0.928035845,
6,Acrobeloides,A. emmatus,0.303150768,
6,Cervidellus,A. emmatus,0.928035845,
6,Mesorhabditis,A. emmatus,0.232676453,
6,PC,A. emmatus,0.051338042,
6,Stegelleta,A. emmatus,0.308538516,
6,Stegelletina,A. emmatus,0.133078968,
6,A. mariannae,A. mariannae,NA,
6,Acrobeles sp.,A. mariannae,1,
6,Acrobeloides,A. mariannae,0.621324267,
6,Cervidellus,A. mariannae,1,
6,Mesorhabditis,A. mariannae,0.529548005,
6,PC,A. mariannae,0.051338042,
6,Stegelleta,A. mariannae,0.660356125,
6,Stegelletina,A. mariannae,0.386615538,
6,A. mariannae,Acrobeles sp.,NA,
6,Acrobeles sp.,Acrobeles sp.,NA,
6,Acrobeloides,Acrobeles sp.,0.621324267,
6,Cervidellus,Acrobeles sp.,1,
6,Mesorhabditis,Acrobeles sp.,0.529548005,
6,PC,Acrobeles sp.,0.232676453,
6,Stegelleta,Acrobeles sp.,0.660356125,
6,Stegelletina,Acrobeles sp.,0.351013158,
6,A. mariannae,Acrobeloides,NA,
6,Acrobeles sp.,Acrobeloides,NA,
6,Acrobeloides,Acrobeloides,NA,
6,Cervidellus,Acrobeloides,0.621324267,
6,Mesorhabditis,Acrobeloides,NA,
6,PC,Acrobeloides,0.133078968,
6,Stegelleta,Acrobeloides,0.751164725,
6,Stegelletina,Acrobeloides,NA,
6,A. mariannae,Cervidellus,NA,
6,Acrobeles sp.,Cervidellus,NA,
6,Acrobeloides,Cervidellus,NA,
6,Cervidellus,Cervidellus,NA,
6,Mesorhabditis,Cervidellus,0.529548005,
6,PC,Cervidellus,0.232676453,
6,Stegelleta,Cervidellus,0.660356125,
6,Stegelletina,Cervidellus,0.351013158,
6,A. mariannae,Mesorhabditis,NA,
6,Acrobeles sp.,Mesorhabditis,NA,
6,Acrobeloides,Mesorhabditis,NA,
6,Cervidellus,Mesorhabditis,NA,
6,Mesorhabditis,Mesorhabditis,NA,
6,PC,Mesorhabditis,0.087709174,
6,Stegelleta,Mesorhabditis,0.660356125,
